Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress,Duplicate Task ID(within project),processed_description
P001,Renovation of a School Project 001,Renovation,Texas,21-07-2024 00:00,08-08-2024 00:00,Behind,Medium,T001,Task 001 of Renovation of a School Project 001,In Progress,Bob,12,9621,0,0.24,FALSE,task 001 renov school project 001
P001,Renovation of a School Project 001,Renovation,New Jersey,21-07-2024 00:00,12-08-2024 00:00,Behind,High,T002,Task 002 of Renovation of a School Project 001,In Progress,Charlie,4,7814,0,0.56,FALSE,task 002 renov school project 001
P001,Renovation of a School Project 001,Renovation,Ohio,21-07-2024 00:00,10-08-2024 00:00,Behind,High,T003,Task 003 of Renovation of a School Project 001,Completed,Charlie,5,1028,1011,1,FALSE,task 003 renov school project 001
P002,Innovation of a Classroom Project 002,Innovation,Pennsylvania,04-06-2024 00:00,12-07-2025 00:00,On Track,High,T001,Task 001 of Innovation of a Classroom Project 002,Pending,Charlie,24,1530,0,0.33,FALSE,task 001 innov classroom project 002
P002,Innovation of a Classroom Project 002,Innovation,New York,04-06-2024 00:00,26-06-2025 00:00,On Track,Medium,T002,Task 002 of Innovation of a Classroom Project 002,Pending,Charlie,26,7201,0,0.32,FALSE,task 002 innov classroom project 002
P002,Innovation of a Classroom Project 002,Innovation,California,04-06-2024 00:00,25-03-2025 00:00,On Track,Low,T003,Task 003 of Innovation of a Classroom Project 002,In Progress,Alice,28,9814,0,0.29,FALSE,task 003 innov classroom project 002
P003,Construction of a Hospital Wing Project 003,Construction,Pennsylvania,20-07-2024 00:00,22-08-2024 00:00,Completed,Low,T001,Task 001 of Construction of a Hospital Wing Project 003,Completed,Grace,7,7981,7717,1,FALSE,task 001 construct hospit wing project 003
P003,Construction of a Hospital Wing Project 003,Construction,Virginia,20-07-2024 00:00,25-09-2024 00:00,Completed,Medium,T002,Task 002 of Construction of a Hospital Wing Project 003,Completed,Frank,23,1032,637,1,FALSE,task 002 construct hospit wing project 003
P003,Construction of a Hospital Wing Project 003,Construction,Ohio,20-07-2024 00:00,22-08-2024 00:00,Completed,Medium,T003,Task 003 of Construction of a Hospital Wing Project 003,Completed,Grace,13,8546,8502,1,FALSE,task 003 construct hospit wing project 003
P004,Road Expansion Project 004,Infrastructure,Pennsylvania,25-04-2024 00:00,06-05-2024 00:00,Completed,Medium,T001,Task 001 of Road Expansion Project 004,Completed,Frank,28,3728,3369,1,FALSE,task 001 road expans project 004
P004,Road Expansion Project 004,Infrastructure,Texas,25-04-2024 00:00,05-05-2024 00:00,Completed,High,T002,Task 002 of Road Expansion Project 004,In Progress,Charlie,26,9707,0,0.99,FALSE,task 002 road expans project 004
P004,Road Expansion Project 004,Infrastructure,Texas,25-04-2024 00:00,10-05-2024 00:00,Completed,Medium,T003,Task 003 of Road Expansion Project 004,Pending,Charlie,18,5712,0,0.74,FALSE,task 003 road expans project 004
P005,Bridge Maintenance Project 005,Maintenance,Michigan,30-06-2024 00:00,31-07-2025 00:00,Behind,Medium,T001,Task 001 of Bridge Maintenance Project 005,Pending,Charlie,18,3453,0,0.78,FALSE,task 001 bridg mainten project 005
P005,Bridge Maintenance Project 005,Maintenance,California,30-06-2024 00:00,02-08-2024 00:00,Behind,Medium,T002,Task 002 of Bridge Maintenance Project 005,Completed,Frank,7,2896,2643,1,FALSE,task 002 bridg mainten project 005
P005,Bridge Maintenance Project 005,Maintenance,Virginia,30-06-2024 00:00,30-06-2025 00:00,Behind,High,T003,Task 003 of Bridge Maintenance Project 005,Pending,Grace,0,6463,0,0.04,FALSE,task 003 bridg mainten project 005
P006,Office Building Renovation Project 006,Renovation,Michigan,09-08-2024 00:00,11-09-2024 00:00,Behind,Low,T001,Task 001 of Office Building Renovation Project 006,Completed,Alice,9,3206,2739,1,FALSE,task 001 offic build renov project 006
P006,Office Building Renovation Project 006,Renovation,North Carolina,09-08-2024 00:00,11-09-2024 00:00,Behind,Medium,T002,Task 002 of Office Building Renovation Project 006,Completed,Frank,40,6477,6402,1,FALSE,task 002 offic build renov project 006
P006,Office Building Renovation Project 006,Renovation,Pennsylvania,09-08-2024 00:00,20-02-2025 00:00,Behind,High,T003,Task 003 of Office Building Renovation Project 006,In Progress,Charlie,40,8634,0,0.07,FALSE,task 003 offic build renov project 006
P007,Apartment Complex Development Project 007,Other,California,06-08-2024 00:00,17-11-2024 00:00,On Track,High,T001,Task 001 of Apartment Complex Development Project 007,Pending,Ivy,32,2552,0,0.62,FALSE,task 001 apart complex develop project 007
P007,Apartment Complex Development Project 007,Other,Florida,06-08-2024 00:00,29-11-2024 00:00,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 007,Pending,Grace,25,4699,0,0.85,FALSE,task 002 apart complex develop project 007
P007,Apartment Complex Development Project 007,Other,Pennsylvania,06-08-2024 00:00,17-11-2024 00:00,On Track,Low,T003,Task 003 of Apartment Complex Development Project 007,Pending,Ivy,10,1720,0,0.92,FALSE,task 003 apart complex develop project 007
P008,Commercial Center Construction Project 008,Construction,Illinois,17-04-2024 00:00,13-09-2024 00:00,On Track,Medium,T001,Task 001 of Commercial Center Construction Project 008,Pending,Alice,17,9458,0,0.59,FALSE,task 001 commerci center construct project 008
P008,Commercial Center Construction Project 008,Construction,Washington,17-04-2024 00:00,05-11-2024 00:00,On Track,Low,T002,Task 002 of Commercial Center Construction Project 008,Pending,Charlie,21,4735,0,0.26,FALSE,task 002 commerci center construct project 008
P008,Commercial Center Construction Project 008,Construction,Georgia,17-04-2024 00:00,19-10-2024 00:00,On Track,High,T003,Task 003 of Commercial Center Construction Project 008,Pending,Charlie,7,9460,0,0.45,FALSE,task 003 commerci center construct project 008
P009,Highway Reconstruction Project 009,Other,Texas,27-04-2024 00:00,28-04-2025 00:00,On Hold,High,T001,Task 001 of Highway Reconstruction Project 009,Pending,Charlie,35,6385,0,0.36,FALSE,task 001 highway reconstruct project 009
